ID	Lake	Date	Time	Latitude	Longitude	Altitude	Area.km2	NVE.ID	NVE.REGINE	SMHI.ID	EU_CD	VDRID
3165	Bäsingen	02.08.2011	17:15	60.16062	16.38945	67	12.74			667258-153492	SE667258-153492	672632-158939
3167	Tisken	01.08.2011	17:05	60.53093	15.67272	107	63.50			670563-148814	SE670563-148814	670508-148714
3185	Stora Almsjön	31.07.2011	11:58	60.87842	13.20813	463	2.04			675024-136064	SE675024-136064	674435-137032
3189	Dragsjön	31.07.2011	13:27	60.99265	13.59872	451	1.44			676466-138128	SE676466-138128	675055-140170
3201	Milsjön	03.08.2011	13:40	60.19463	14.00855	291	3.29			667277-140244	SE667277-140244	665916-141425
3220	Stora Korslängen	05.08.2011	18:40	59.98293	15.23042	262	3.45			664775-146931	SE664775-146931	659438-151480
3384	Hinsen	01.08.2011	16:10	60.68212	16.07428	191	11.90			672474-151813	SE672474-151813	671602-154437
3397	Storsjön	01.08.2011	13:37	61.65385	15.75923	355	1.89			683650-149928	SE683650-149928	683604-149973
3399	Grycken	31.07.2011	16:55	61.57602	15.42448	240	3.17			682851-147844	SE682851-147844	681475-148153
3516	Holmsjön	01.08.2011	11:51	62.41027	15.31322	244	50.73			692346-148199	SE692346-148199	691085-158191
3541	Stornaggen	01.08.2011	10:44	62.2666	15.97102	357	3.04			690492-151080	SE690492-151080	690166-151399
5000	Forsjösjön	02.08.2011	10:00	58.9535	16.26353	27	1.87			653651-152831	SE653651-152831	651426-157020
10000	Hurdalsjøen	12.08.2011	11:05	60.37648	11.04077	176	32.81	141	002.DAB1			
10001	Harestuvatnet	12.08.2011	13:10	60.19323	10.71212	234	1.98	116	002.CF0			
