ID	Salmo trutta	Salmo salar	Salvelinus alpinus	Coregonus lavaretus	Thymallus thymallus	Esox lucius	Perca fluviatilis	Gymnocephalus cernuus	Sander lucioperca	Phoxinus phoxinus	Gasterosteidae	Anguilla anguilla	Lota lota	Alburnus alburnus	Rutilus rutilus	Leuciscus idus	Leuciscus leuciscus	Abramis brama	Leuciscus cephalus	Blicca bjoerkna	Scardinius erythrophthalmus	Osmerus eperlanus	Coregonus albula	Myoxocephalus quadricornis	Tinca tinca	Cyprinus carpio	Carassius carassius	Lampetra fluviatilis	Lampetra planeri	Cottus gobio	Cottus poecilopus
2374	1	0	0	0	0	1	1	1	1	0	0	0	1	1	1	0	0	1	0	1	1	1	0	0	1	0	1	0	0	0	0
2678	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0
2870	1	0	0	0	0	1	1	0	1	0	0	1	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0
2872	1	1	1	1	0	1	1	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	1
2875	0	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
2878	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2887	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2888	1	0	0	0	0	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
2899	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3017	1	0	0	1	0	1	1	0	1	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3019	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0
3020	1	0	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3025	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3027	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3029	0	0	0	0	0	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3031	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
3106	1	0	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0	0
3160	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	1	0	1	1	0	0	1	1	1	0	0	0	0	0	1	0
3165	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0
3167	1	0	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	0	1	1	0	1	0
3185	1	0	1	1	0	1	1	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
3189	1	0	0	1	0	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3201	0	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
3220	0	0	0	1	0	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3384	1	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
3397	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3399	1	0	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
3516	1	0	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3541	1	0	0	1	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5000	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	0	0	1	0	1	1	0	0	0	1	0	1	0	0	0	0
10000	1	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
10001	1	0	0	1	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
