"ID" "Lake.name" "Date" "Start.time" "End.time" "Station.depth" "Zooplankton.Depth" "Secchi.depth" "Latitude" "Longitude"
"56" 261 "Kalandsvatnet" "22.07.2011" "14:30" "15:18" 43 19 3.2 60.2708833333333 5.40216666666667
"57" 394 "Vatsvatnet" "21.07.2011" "17:18" "18:17" 18 17 1.1 59.5266666666667 5.70416666666667
"58" 378 "Hetlandsvatn" "21.07.2011" "15:23" "16:50" 33 19 6 59.1751833333333 6.10916666666667
"59" 395 "Vostervatnet" "21.07.2011" "14:02" "15:05" 60 19 5.5 59.09575 5.97535
"60" 380 "Kyllesvatn/Lutsivatn" "21.07.2011" "12:45" "13:43" 32 19 3.15 58.86005 5.84783333333333
"61" 374 "Edlandsvatnet" "21.07.2011" "11:08" "12:28" 8 6 3 58.7626333333333 5.8705
"62" 288 "Vatnevatnet" "20.07.2011" "16:56" "" 25 19 7 62.15305 6.22861666666667
"63" 277 "Engsetdalsvatnet/Fyllingsvatnet" "20.07.2011" "11:49" "16:18" 13 13 6 62.5333333333333 6.63278333333333
"64" 498 "Dagarn" "05.08.2011" "19:30" "20:00" 5.5 4 3.1 59.9036833333333 15.7028833333333
"65" 3220 "Norra Bredsjøn" "05.08.2011" "18:40" "19:08" 15 13 2.5 59.9829333333333 15.2304166666667
"66" 3020 "Ljusnaren" "05.08.2011" "17:45" "18:22" 20 17 2 59.8792 14.9342333333333
"67" 170 "Gjersjøen" "08.08.2011" "14:00" "15:00" 22 20 3.3 59.7897 10.77485
"68" 482 "Bergsvannet" "09.08.2011" "14:00" "15:00" 12.1 12 1.05 59.5884 10.05265
"69" 191 "Rødbyvatnet" "09.08.2011" "15:00" "16:00" 10 10 2.1 59.58175 10.48715
"70" 326 "Einavatnet" "10.08.2011" "10:00" "11:30" 24 20 3.55 60.5381333333333 10.653
"71" 2268 "Mylla" "10.08.2011" "12:15" "13:30" 33 22 3.9 60.24425 10.5910833333333
"72" 349 "Bogstadvannet" "11.08.2011" "10:25" "11:31" 8 8 2.3 59.9705166666667 10.61845
"73" 10000 "Hurdalsjøen" "12.08.2011" "11:05" "12:10" 20 20 6.5 60.3764833333333 11.0407666666667
"74" 10001 "Harestuvatnet" "12.08.2011" "13:10" "14:00" 13 13 4.5 60.1932333333333 10.7121166666667
"75" 344 "Strondavatnet" "16.08.2011" "14:15" "15:05" 34 20 6.1 60.9775333333333 9.24863333333333
"76" 340 "Sæbuvatnet" "16.08.2011" "12:40" "13:25" 18.4 18 5.05 61.01255 9.21506666666667
