ID	Lake	Date	Time	Latitude	Longitude	Fraksjon	diap.brac	limn.fron	sida.crys	holo.gibb	ceri.pulc	ceri.quad	daph.cris	daph.cucu	daph.gale	daph.lonr	daph.lons	scap.mucr	bosm.core	bosm.lonr	bosm.lons	alon.inte	alon.exci	alon.nana	alon.elon	chyd.pige	chyd.spha	pleu.trig	poly.pedi	byth.long	lept.kind	limn.macr	acan.dent	eudi.ilis	eudi.ides	arct.lati	mixo.laci	eury.lacu	hete.appe	hete.sali	macr.albi	eucy.serr	cycl.abys	cycl.boha	cycl.lacu	cycl.scut	cycl.vici	mega.giga	mega.viri	diac.bicu	meso.leuc	ther.cras	ther.oith
345	Trevatna	28.07.2011	14:05	60.63883	10.43533	0.01	0	0	0	1	0	0	1800	0	0	0	0	0	0	0	300	0	0	0	0	0	0	0	1	0	1	0	0	4700	0	0	0	0	1	0	0	0	0	0	0	4100	0	0	0	0	100	0	1400
349	Bogstadvannet	11.08.2011	10:25	59.97052	10.61845	0.02	0	50	0	1	0	1	1250	0	0	0	0	0	0	0	900	0	0	0	0	0	0	1	0	1	1	0	50	0	0	0	0	0	400	0	0	0	0	0	0	0	0	0	0	0	50	0	4250
353	Aspern	29.07.2011	11:53	59.14713	11.68437	0.01	200	1	0	1	0	0	5700	0	300	0	0	0	400	0	700	0	0	0	0	0	0	0	0	1	1	400	0	1120	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3000	0	5100
361	Rødenessjøen	29.07.2011	14:20	59.53198	11.62597	0.01	3300	1	0	0	0	0	600	0	2800	0	0	0	1600	0	4300	0	0	0	0	0	1	0	0	0	1	600	0	1800	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2100	0	2300
363	Rømsjøen	29.07.2011	15:32	59.70107	11.84380	0.02	1	1	0	1	0	0	450	0	0	0	0	0	0	0	2000	0	0	0	0	0	0	0	0	1	1	0	0	350	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	800	0	4550
374	Edlandsvatnet	21.07.2011	11:08	58.76263	5.87050	0.1	140	0	0	20	0	0	0	0	710	0	0	0	500	0	60	0	0	0	0	1	0	0	0	10	1	0	0	1270	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
378	Hetlandsvatn	21.07.2011	15:23	59.17518	6.10917	0.05	40	0	0	0	0	0	0	0	1260	0	0	0	0	0	1	0	0	0	0	0	0	0	1	100	0	0	0	0	0	0	680	0	0	0	0	0	0	0	0	2960	0	0	0	0	0	0	0
380	Lutsivatn	21.07.2011	12:45	58.86005	5.84783	0.01	100	0	0	0	0	0	0	0	500	0	0	0	0	0	600	0	0	0	0	0	0	0	0	1	1	0	0	15000	0	0	0	0	0	1	0	0	600	0	0	0	0	0	0	0	1	0	0
394	Vatsvatnet	21.07.2011	17:18	59.52667	5.70417	0.01	0	0	0	100	0	0	0	0	1	0	0	0	0	0	18700	0	0	0	0	0	0	0	0	1	0	0	0	1000	0	0	0	0	0	300	0	0	0	0	0	1600	0	0	0	0	100	0	0
395	Vostervatnet	21.07.2011	14:02	59.09575	5.97535	0.01	0	0	0	0	0	0	0	0	6000	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	11100	0	0	1200	0	0	0	0	0	0	0	0	5800	0	0	0	0	0	0	0
404	Jølstravatnet	23.07.2011	16:45	61.55793	6.40045	0.02	0	0	0	50	0	0	0	0	4000	0	0	0	0	0	150	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6600	0	0	0	0	0	0	0
405	Oppstrynvatnet	23.07.2011	11:55	61.91457	7.07673	0.01	0	0	0	1	0	0	0	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7600	0	0	0	0	0	0	0	0	0	12700	0	0	0	0	0	0	0
433	Bandak	27.07.2011	09:52	59.40163	8.23000	0.05	0	0	0	40	0	0	0	0	0	0	1	0	0	0	140	0	0	0	0	0	0	0	1	1	0	0	60	0	0	0	100	0	0	80	0	0	0	0	0	4280	0	0	0	0	0	0	0
436	Grungevatnet	27.07.2011	12:49	59.70705	7.75917	0.05	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2140	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1740	0	0	0	0	0	0	0
453	Vinjevatn	27.07.2011	11:30	59.61230	7.85217	0.05	0	0	0	520	0	0	0	0	0	0	40	0	0	0	220	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	680	0	0	60	0	0	0	0	0	1300	0	0	0	0	0	0	0
481	Åsrumvatnet	26.07.2011	12:30	59.16333	10.05777	0.1	150	0	0	0	0	0	120	0	0	0	1290	0	760	0	110	0	0	0	0	0	0	0	0	0	10	0	0	240	0	0	0	0	60	0	0	0	170	0	0	0	0	0	30	0	0	0	320
482	Bergsvannet	09.08.2011	14:00	59.58840	10.05265	0.01	700	1	0	0	0	100	100	11800	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	700	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1300	0	5200
486	Goksjø	26.07.2011	14:05	59.17250	10.16500	0.02	1	0	0	0	0	1	300	0	0	0	3200	0	1000	50	0	0	0	0	0	0	0	0	0	0	1	0	0	500	0	0	0	0	750	0	0	0	1	0	0	0	0	1	0	0	800	0	2700
487	Hallevatnet	26.07.2011	10:47	59.02527	9.90917	0.02	550	0	0	400	0	0	100	0	0	0	800	0	0	0	150	0	0	0	0	0	0	0	150	50	0	0	0	1750	0	0	0	0	0	0	0	0	0	0	0	4900	0	0	0	0	400	0	500
498	Dagarn	05.08.2011	19:30	59.90368	15.70288	0.02	200	100	0	0	0	0	850	0	1	0	0	0	1	0	1200	0	0	0	0	0	1	0	0	1	1	0	0	1000	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	200	0	4100
519	Largen	02.08.2011	13:05	59.59112	18.52145	0.01	200	200	0	1	0	0	0	0	1400	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1700	0	0	0	0	0	0	0	0	0	300	0	0	0	0	0	11	0	0	14100
2252	Rotnessjøen	30.07.2011	09:59	60.49690	12.34120	0.02	0	0	0	50	0	0	550	0	1	1500	0	0	0	0	400	0	0	0	0	0	0	0	0	0	1	0	0	0	1150	0	0	0	300	0	0	0	0	0	0	1700	0	0	0	0	0	0	2780
2268	Mylla	10.08.2011	12:15	60.24425	10.59108	0.05	1140	0	0	140	1	0	220	0	0	0	60	0	0	0	200	0	0	0	1	0	0	0	0	1	0	0	620	0	0	0	0	0	120	0	0	0	0	0	0	740	0	0	0	0	100	0	0
2312	Femsjøen	29.07.2011	10:55	59.13317	11.47070	0.01	200	0	0	1	0	0	4100	0	1900	0	0	0	100	0	900	0	0	0	0	0	1	0	0	1	100	1	0	1800	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3600	0	5100
2374	Klämmingen	02.08.2011	11:33	59.09200	17.29833	0.01	1700	400	0	1	0	0	600	3700	0	0	0	0	2200	1	200	0	0	0	0	0	1100	0	1	1	100	200	0	1200	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	800	0	7800
2678	Torrsjøn	29.07.2011	09:33	58.97833	12.11388	0.02	200	50	0	1	0	0	1250	0	1	0	0	0	150	0	700	0	0	0	0	0	0	0	0	0	1	250	0	19150	0	0	0	0	1	0	0	0	0	0	150	0	0	0	0	0	1	0	5300
2870	Visten	03.08.2011	11:05	59.62987	13.39677	0.01	0	1000	0	0	0	0	1200	0	400	0	0	0	1	0	100	0	0	0	0	0	1	0	1	100	1	1	0	5800	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	900	0	12100
2872	Stora Le	29.07.2011	13:00	59.32215	11.79408	0.02	250	1	0	150	0	0	1750	0	0	0	0	0	100	2000	0	0	0	0	0	0	0	0	0	0	1	1	0	450	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	50	0	4650
2875	Näsrämmen	03.08.2011	14:40	60.03387	14.13738	0.02	800	1	0	0	100	0	2750	0	0	0	0	0	1	0	600	0	0	0	0	0	0	0	0	0	1	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300	0	7450
2878	Rangsjön	31.07.2011	09:56	60.82357	12.50752	0.02	1	0	0	1	0	0	5800	0	1	0	0	0	0	0	1600	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	250	0	0	0	0	0	0	200	0	0	0	0	50	0	0
2887	Tisjön	31.07.2011	10:59	60.91878	12.96573	0.01	0	0	1	1	0	0	7100	0	0	0	0	0	0	0	2300	0	0	0	0	0	0	0	0	0	100	0	0	0	5600	0	0	0	100	0	0	0	0	0	0	1400	0	0	0	0	1700	0	0
2888	Halsjøen	30.07.2011	17:23	60.86397	12.31110	0.01	0	1	0	0	0	0	12400	0	0	0	0	0	0	0	7500	0	0	0	0	0	0	0	0	0	1	0	0	200	0	0	0	0	200	0	0	0	0	0	0	2900	0	0	0	0	0	0	0
2899	Jangen	03.08.2011	12:25	60.14628	13.27153	0.02	1	50	0	0	50	850	1200	0	0	0	0	0	0	300	5250	0	0	0	0	0	950	0	0	0	1	0	0	550	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	200	0	1200
3017	Sör-älgen	04.08.2011	09:45	59.72432	14.60650	0.02	300	50	0	300	0	0	400	0	0	0	0	0	0	0	1250	0	0	0	0	0	0	0	50	1	1	0	0	400	0	0	0	250	100	0	0	0	0	0	0	300	0	0	0	0	450	0	5150
3019	Möckeln	03.08.2011	09:48	59.30387	14.53832	0.02	50	1	0	1	0	0	2350	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1400	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	300	150	9900
