"ID" "Lake" "Latitude" "Longitude" "Altitude" "Area.km2" "bio1" "bio2" "bio3" "bio4" "bio5" "bio6" "bio7" "bio8" "bio9" "bio10" "bio11" "bio12" "bio13" "bio14" "bio15" "bio16" "bio17" "bio18" "bio19"
"42" 519 "Langen" 59.59112 18.52145 28 1.38 62 65 23 7286 213 -59 272 149 2 160 -26 523 63 25 30 181 83 165 114
"43" 2252 "Rotnessjøen" 60.4969 12.3412 260 1.09 35 75 25 7823 194 -102 296 124 -56 137 -65 702 85 32 31 246 108 243 124
"44" 2268 "Mylla" 60.24425 10.59108 496 1.69 24 74 25 7741 184 -110 294 112 -34 126 -74 798 99 40 28 274 129 267 149
"45" 2312 "Femsjøen" 59.13317 11.4707 79 10.66 63 60 23 6980 199 -55 254 115 4 155 -24 803 93 42 26 264 133 232 166
"46" 2374 "Klämmingen" 59.092 17.29833 9 9.99 65 68 24 7196 216 -57 273 150 5 161 -23 545 66 26 28 185 88 176 119
"47" 2678 "Torrsjøn" 58.97833 12.11388 102 1.76 60 66 25 7021 200 -62 262 111 2 151 -29 766 85 39 25 248 127 222 159
"48" 2870 "Visten" 59.62987 13.39677 63 32.03 55 78 26 7445 209 -80 289 140 -4 153 -39 654 79 31 29 221 103 210 123
"49" 2872 "Stora Le" 59.32215 11.79408 103 84.88 58 65 24 7132 200 -65 265 110 0 151 -32 786 88 41 26 257 130 233 159
"50" 2875 "Näsrämmen" 60.03387 14.13738 239 2.73 43 82 27 7615 205 -96 301 130 -17 143 -53 706 85 34 28 243 113 235 138
"51" 2878 "Rangsjön" 60.82357 12.50752 490 2.74 23 77 25 7908 185 -116 301 126 -69 126 -78 691 89 31 34 252 103 252 119
"52" 2887 "Tisjön" 60.91878 12.96573 431 27.05 26 78 25 7920 188 -114 302 129 -66 129 -75 677 90 30 34 249 100 249 116
"53" 2888 "Halsjøen" 60.86397 12.3111 299 5.18 32 76 25 7957 194 -107 301 136 -60 136 -70 654 84 28 35 239 94 239 109
"54" 2899 "Jangen" 60.14628 13.27153 212 4.51 42 78 26 7664 201 -95 296 130 -17 143 -55 692 83 33 30 240 108 234 127
"55" 3017 "Sör-älgen" 59.72432 14.6065 181 15.54 48 83 27 7479 211 -89 300 134 -11 148 -45 700 83 34 27 237 114 225 143
"56" 3019 "Möckeln" 59.30387 14.53832 88 17.99 56 82 27 7277 216 -77 293 140 -3 153 -34 652 77 31 27 220 106 203 136
"57" 3020 "Ljusnaren" 59.8792 14.93423 163 9.6 49 84 27 7574 215 -90 305 136 -10 150 -45 706 84 35 27 240 115 230 144
"58" 3025 "Halvarsnoren" 59.63177 14.59643 165 16.88 50 83 27 7433 213 -86 299 136 -9 149 -42 694 82 34 27 235 114 221 143
"59" 3027 "Nätsjön" 59.8913 14.48088 206 2.92 46 83 27 7551 209 -92 301 132 -14 146 -49 706 85 34 28 242 114 232 141
"60" 3029 "Örlingen" 59.87902 14.41998 190 1.4 47 83 27 7552 210 -92 302 133 -13 147 -48 700 84 34 28 240 113 229 140
"61" 3031 "Saxen" 59.77375 14.40965 178 7.02 46 82 27 7478 208 -91 299 132 -13 146 -47 701 84 34 27 238 114 227 141
